as_of_utc,date,forecast_high_f,forecast_low_f,ensemble_high_std_f,ensemble_low_std_f,forecast_model,forecast_lead_days,forecast_source
2025-03-31T12:00:00+00:00,2025-04-01,54.86,46.58,,,best_match,1.0,open_meteo_previous_runs
2025-04-01T12:00:00+00:00,2025-04-02,58.82,42.98,,,best_match,1.0,open_meteo_previous_runs
2025-04-02T12:00:00+00:00,2025-04-03,60.98,43.34,,,best_match,1.0,open_meteo_previous_runs
2025-04-03T12:00:00+00:00,2025-04-04,66.92,44.96,,,best_match,1.0,open_meteo_previous_runs
2025-04-04T12:00:00+00:00,2025-04-05,63.32,47.66,,,best_match,1.0,open_meteo_previous_runs
2025-04-05T12:00:00+00:00,2025-04-06,61.88,44.96,,,best_match,1.0,open_meteo_previous_runs
2025-04-06T12:00:00+00:00,2025-04-07,60.26,50.9,,,best_match,1.0,open_meteo_previous_runs
2025-04-07T12:00:00+00:00,2025-04-08,60.62,46.94,,,best_match,1.0,open_meteo_previous_runs
2025-04-08T12:00:00+00:00,2025-04-09,67.28,47.3,,,best_match,1.0,open_meteo_previous_runs
2025-04-09T12:00:00+00:00,2025-04-10,62.96,48.56,,,best_match,1.0,open_meteo_previous_runs
2025-04-10T12:00:00+00:00,2025-04-11,64.94,50.18,,,best_match,1.0,open_meteo_previous_runs
2025-04-11T12:00:00+00:00,2025-04-12,66.74,45.86,,,best_match,1.0,open_meteo_previous_runs
2025-04-12T12:00:00+00:00,2025-04-13,76.82,48.02,,,best_match,1.0,open_meteo_previous_runs
2025-04-13T12:00:00+00:00,2025-04-14,64.58,50.0,,,best_match,1.0,open_meteo_previous_runs
2025-04-14T12:00:00+00:00,2025-04-15,59.9,49.46,,,best_match,1.0,open_meteo_previous_runs
2025-04-15T12:00:00+00:00,2025-04-16,58.1,49.64,,,best_match,1.0,open_meteo_previous_runs
2025-04-16T12:00:00+00:00,2025-04-17,57.02,48.92,,,best_match,1.0,open_meteo_previous_runs
2025-04-17T12:00:00+00:00,2025-04-18,60.8,48.38,,,best_match,1.0,open_meteo_previous_runs
2025-04-18T12:00:00+00:00,2025-04-19,58.82,45.32,,,best_match,1.0,open_meteo_previous_runs
2025-04-19T12:00:00+00:00,2025-04-20,59.72,46.76,,,best_match,1.0,open_meteo_previous_runs
2025-04-20T12:00:00+00:00,2025-04-21,71.24,45.5,,,best_match,1.0,open_meteo_previous_runs
2025-04-21T12:00:00+00:00,2025-04-22,67.28,48.2,,,best_match,1.0,open_meteo_previous_runs
2025-04-22T12:00:00+00:00,2025-04-23,57.56,48.56,,,best_match,1.0,open_meteo_previous_runs
2025-04-23T12:00:00+00:00,2025-04-24,53.96,47.84,,,best_match,1.0,open_meteo_previous_runs
2025-04-24T12:00:00+00:00,2025-04-25,56.48,48.02,,,best_match,1.0,open_meteo_previous_runs
2025-04-25T12:00:00+00:00,2025-04-26,59.36,44.42,,,best_match,1.0,open_meteo_previous_runs
2025-04-26T12:00:00+00:00,2025-04-27,58.82,49.1,,,best_match,1.0,open_meteo_previous_runs
2025-04-27T12:00:00+00:00,2025-04-28,64.4,46.04,,,best_match,1.0,open_meteo_previous_runs
2025-04-28T12:00:00+00:00,2025-04-29,68.9,47.3,,,best_match,1.0,open_meteo_previous_runs
2025-04-29T12:00:00+00:00,2025-04-30,68.54,48.56,,,best_match,1.0,open_meteo_previous_runs
2025-04-30T12:00:00+00:00,2025-05-01,58.64,49.1,,,best_match,1.0,open_meteo_previous_runs
2025-05-01T12:00:00+00:00,2025-05-02,60.44,47.12,,,best_match,1.0,open_meteo_previous_runs
2025-05-02T12:00:00+00:00,2025-05-03,64.04,49.46,,,best_match,1.0,open_meteo_previous_runs
2025-05-03T12:00:00+00:00,2025-05-04,71.06,47.3,,,best_match,1.0,open_meteo_previous_runs
2025-05-04T12:00:00+00:00,2025-05-05,82.22,59.36,,,best_match,1.0,open_meteo_previous_runs
2025-05-05T12:00:00+00:00,2025-05-06,69.8,51.62,,,best_match,1.0,open_meteo_previous_runs
2025-05-06T12:00:00+00:00,2025-05-07,56.84,49.28,,,best_match,1.0,open_meteo_previous_runs
2025-05-07T12:00:00+00:00,2025-05-08,66.2,48.38,,,best_match,1.0,open_meteo_previous_runs
2025-05-08T12:00:00+00:00,2025-05-09,72.5,46.76,,,best_match,1.0,open_meteo_previous_runs
2025-05-09T12:00:00+00:00,2025-05-10,69.8,48.92,,,best_match,1.0,open_meteo_previous_runs
2025-05-10T12:00:00+00:00,2025-05-11,59.54,50.18,,,best_match,1.0,open_meteo_previous_runs
2025-05-11T12:00:00+00:00,2025-05-12,59.18,50.36,,,best_match,1.0,open_meteo_previous_runs
2025-05-12T12:00:00+00:00,2025-05-13,64.4,48.56,,,best_match,1.0,open_meteo_previous_runs
2025-05-13T12:00:00+00:00,2025-05-14,69.26,47.66,,,best_match,1.0,open_meteo_previous_runs
2025-05-14T12:00:00+00:00,2025-05-15,69.98,48.2,,,best_match,1.0,open_meteo_previous_runs
2025-05-15T12:00:00+00:00,2025-05-16,71.24,49.82,,,best_match,1.0,open_meteo_previous_runs
2025-05-16T12:00:00+00:00,2025-05-17,61.7,50.54,,,best_match,1.0,open_meteo_previous_runs
2025-05-17T12:00:00+00:00,2025-05-18,68.9,47.48,,,best_match,1.0,open_meteo_previous_runs
2025-05-18T12:00:00+00:00,2025-05-19,76.1,52.88,,,best_match,1.0,open_meteo_previous_runs
2025-05-19T12:00:00+00:00,2025-05-20,69.26,48.2,,,best_match,1.0,open_meteo_previous_runs
2025-05-20T12:00:00+00:00,2025-05-21,75.02,47.66,,,best_match,1.0,open_meteo_previous_runs
2025-05-21T12:00:00+00:00,2025-05-22,63.32,48.38,,,best_match,1.0,open_meteo_previous_runs
2025-05-22T12:00:00+00:00,2025-05-23,59.9,48.74,,,best_match,1.0,open_meteo_previous_runs
2025-05-23T12:00:00+00:00,2025-05-24,60.08,48.74,,,best_match,1.0,open_meteo_previous_runs
2025-05-24T12:00:00+00:00,2025-05-25,60.26,48.38,,,best_match,1.0,open_meteo_previous_runs
2025-05-25T12:00:00+00:00,2025-05-26,62.42,51.08,,,best_match,1.0,open_meteo_previous_runs
2025-05-26T12:00:00+00:00,2025-05-27,62.78,47.66,,,best_match,1.0,open_meteo_previous_runs
2025-05-27T12:00:00+00:00,2025-05-28,57.92,50.72,,,best_match,1.0,open_meteo_previous_runs
2025-05-28T12:00:00+00:00,2025-05-29,69.44,51.44,,,best_match,1.0,open_meteo_previous_runs
2025-05-29T12:00:00+00:00,2025-05-30,76.64,50.18,,,best_match,1.0,open_meteo_previous_runs
2025-05-30T12:00:00+00:00,2025-05-31,70.52,51.44,,,best_match,1.0,open_meteo_previous_runs
2025-05-31T12:00:00+00:00,2025-06-01,63.5,52.16,,,best_match,1.0,open_meteo_previous_runs
