date,tmax_f,tmin_f,precip_in,precip_trace,cli_station,source_url,city,source,archive_version
2025-04-01,59.0,35.96,,,,,Boston,cdo,
2025-04-02,39.02,31.1,,,,,Boston,cdo,
2025-04-03,64.94,35.96,,,,,Boston,cdo,
2025-04-04,69.08,48.02,,,,,Boston,cdo,
2025-04-05,48.92,39.02,,,,,Boston,cdo,
2025-04-06,53.06,39.92,,,,,Boston,cdo,
2025-04-07,48.02,37.04,,,,,Boston,cdo,
2025-04-08,42.08,30.2,,,,,Boston,cdo,
2025-04-09,46.94,28.22,,,,,Boston,cdo,
2025-04-10,44.96,33.98,,,,,Boston,cdo,
2025-04-11,42.98,35.06,,,,,Boston,cdo,
2025-04-12,39.02,35.06,,,,,Boston,cdo,
2025-04-13,44.96,37.94,,,,,Boston,cdo,
2025-04-14,68.0,41.0,,,,,Boston,cdo,
2025-04-15,66.92,48.02,,,,,Boston,cdo,
2025-04-16,51.98,41.0,,,,,Boston,cdo,
2025-04-17,60.08,41.0,,,,,Boston,cdo,
2025-04-18,66.92,41.0,,,,,Boston,cdo,
2025-04-19,82.94,55.94,,,,,Boston,cdo,
2025-04-20,69.98,48.02,0.0,,,,Boston,cdo,
2025-04-21,55.94,42.98,0.0,,,,Boston,cdo,
2025-04-22,57.92,46.04,0.331,,,,Boston,cdo,
2025-04-23,73.04,44.06,0.0,,,,Boston,cdo,
2025-04-24,69.98,46.94,0.0,,,,Boston,cdo,
2025-04-25,69.08,51.08,0.031,,,,Boston,cdo,
2025-04-26,64.04,53.06,0.551,,,,Boston,cdo,
2025-04-27,57.02,46.04,0.0,,,,Boston,cdo,
2025-04-28,71.96,48.92,0.0,,,,Boston,cdo,
2025-04-29,78.98,51.98,0.0,,,,Boston,cdo,
2025-04-30,71.96,53.96,0.0,,,,Boston,cdo,
2025-05-01,60.98,46.04,0.0,,,,Boston,cdo,
2025-05-02,71.06,48.92,0.291,,,,Boston,cdo,
2025-05-03,84.02,57.02,0.051,,,,Boston,cdo,
2025-05-04,77.0,53.06,0.091,,,,Boston,cdo,
2025-05-05,53.96,48.92,0.748,,,,Boston,cdo,
2025-05-06,60.98,48.92,0.272,,,,Boston,cdo,
2025-05-07,73.04,55.04,0.02,,,,Boston,cdo,
2025-05-08,69.98,53.96,0.0,,,,Boston,cdo,
2025-05-09,55.94,48.02,1.091,,,,Boston,cdo,
2025-05-10,64.04,46.94,0.441,,,,Boston,cdo,
2025-05-11,69.98,53.06,0.0,,,,Boston,cdo,
2025-05-12,75.02,46.04,0.0,,,,Boston,cdo,
2025-05-13,62.96,51.98,0.0,,,,Boston,cdo,
2025-05-14,62.06,50.0,0.0,,,,Boston,cdo,
2025-05-15,68.0,55.04,0.35,,,,Boston,cdo,
2025-05-16,78.98,62.96,0.0,,,,Boston,cdo,
2025-05-17,75.92,60.98,0.0,,,,Boston,cdo,
2025-05-18,69.98,59.0,0.0,,,,Boston,cdo,
2025-05-19,64.04,50.0,0.0,,,,Boston,cdo,
2025-05-20,57.02,48.92,0.0,,,,Boston,cdo,
2025-05-21,50.0,46.94,0.0,,,,Boston,cdo,
2025-05-22,48.02,44.96,3.11,,,,Boston,cdo,
2025-05-23,57.92,44.06,0.441,,,,Boston,cdo,
2025-05-24,62.06,48.92,0.11,,,,Boston,cdo,
2025-05-25,60.98,51.08,0.0,,,,Boston,cdo,
2025-05-26,62.96,51.08,0.0,,,,Boston,cdo,
2025-05-27,73.94,51.08,0.0,,,,Boston,cdo,
2025-05-28,77.0,57.92,0.0,,,,Boston,cdo,
2025-05-29,64.04,57.02,0.031,,,,Boston,cdo,
2025-05-30,77.0,60.08,0.0,,,,Boston,cdo,
2025-05-31,69.98,51.98,0.209,,,,Boston,cdo,
2025-06-01,64.94,51.98,0.0,,,,Boston,cdo,
2025-06-02,71.96,51.08,0.0,,,,Boston,cdo,
2025-06-03,71.96,55.04,0.0,,,,Boston,cdo,
2025-06-04,84.92,60.08,0.0,,,,Boston,cdo,
2025-06-05,87.08,62.06,0.0,,,,Boston,cdo,
2025-06-06,78.98,60.98,0.0,,,,Boston,cdo,
2025-06-07,66.92,60.98,1.039,,,,Boston,cdo,
2025-06-08,66.92,57.02,0.0,,,,Boston,cdo,
2025-06-09,60.08,55.94,0.012,,,,Boston,cdo,
2025-06-10,62.06,55.94,0.15,,,,Boston,cdo,
2025-06-11,82.94,62.06,0.0,,,,Boston,cdo,
2025-06-12,89.06,66.02,0.0,,,,Boston,cdo,
2025-06-13,69.98,59.0,0.0,,,,Boston,cdo,
2025-06-14,60.98,57.02,0.02,,,,Boston,cdo,
2025-06-15,64.04,55.94,0.0,,,,Boston,cdo,
2025-06-16,66.02,55.04,0.0,,,,Boston,cdo,
2025-06-17,68.0,59.0,0.051,,,,Boston,cdo,
2025-06-18,78.08,64.94,0.0,,,,Boston,cdo,
2025-06-19,91.94,68.0,0.0,,,,Boston,cdo,
2025-06-20,84.92,69.98,0.0,,,,Boston,cdo,
2025-06-21,80.06,66.02,0.0,,,,Boston,cdo,
2025-06-22,93.92,71.06,0.02,,,,Boston,cdo,
2025-06-23,89.96,75.92,0.0,,,,Boston,cdo,
2025-06-24,102.02,78.08,0.0,,,,Boston,cdo,
2025-06-25,93.02,78.08,0.0,,,,Boston,cdo,
2025-06-26,78.08,60.98,0.0,,,,Boston,cdo,
2025-06-27,71.06,60.98,0.0,,,,Boston,cdo,
2025-06-28,69.08,57.92,0.031,,,,Boston,cdo,
2025-06-29,77.0,62.06,0.0,,,,Boston,cdo,
2025-06-30,82.94,66.92,0.0,,,,Boston,cdo,
2025-07-01,93.02,69.98,0.169,,,,Boston,cdo,
2025-07-02,87.98,73.04,0.0,,,,Boston,cdo,
2025-07-03,89.96,69.08,0.0,,,,Boston,cdo,
2025-07-04,80.96,64.94,0.0,,,,Boston,cdo,
2025-07-05,84.02,66.02,0.0,,,,Boston,cdo,
2025-07-06,93.92,69.08,0.0,,,,Boston,cdo,
2025-07-07,89.96,73.04,0.0,,,,Boston,cdo,
2025-07-08,93.92,68.0,0.059,,,,Boston,cdo,
2025-07-09,71.06,66.02,0.35,,,,Boston,cdo,
2025-07-10,66.92,62.96,1.331,,,,Boston,cdo,
2025-07-11,75.02,62.96,0.0,,,,Boston,cdo,
2025-07-12,75.92,66.92,0.0,,,,Boston,cdo,
2025-07-13,78.08,66.02,0.0,,,,Boston,cdo,
2025-07-14,82.94,66.92,0.0,,,,Boston,cdo,
2025-07-15,89.06,73.94,0.0,,,,Boston,cdo,
2025-07-16,95.0,71.06,0.0,,,,Boston,cdo,
2025-07-17,91.04,71.96,0.0,,,,Boston,cdo,
2025-07-18,82.04,64.94,0.0,,,,Boston,cdo,
2025-07-19,87.08,64.94,0.0,,,,Boston,cdo,
2025-07-20,87.08,69.98,0.201,,,,Boston,cdo,
2025-07-21,80.06,66.02,0.0,,,,Boston,cdo,
2025-07-22,73.04,60.98,0.0,,,,Boston,cdo,
2025-07-23,78.08,62.96,0.0,,,,Boston,cdo,
2025-07-24,89.96,66.92,0.0,,,,Boston,cdo,
2025-07-25,95.0,71.96,0.098,,,,Boston,cdo,
2025-07-26,77.0,66.02,0.0,,,,Boston,cdo,
2025-07-27,75.92,64.94,0.071,,,,Boston,cdo,
2025-07-28,84.02,64.94,0.0,,,,Boston,cdo,
2025-07-29,98.96,73.04,0.0,,,,Boston,cdo,
2025-07-30,89.96,71.06,0.0,,,,Boston,cdo,
2025-07-31,84.02,60.98,0.728,,,,Boston,cdo,
2025-08-01,71.06,60.08,0.28,,,,Boston,cdo,
2025-08-02,71.06,60.08,0.0,,,,Boston,cdo,
2025-08-03,78.98,60.98,0.0,,,,Boston,cdo,
2025-08-04,82.04,64.04,0.0,,,,Boston,cdo,
2025-08-05,73.04,64.94,0.0,,,,Boston,cdo,
2025-08-06,75.02,64.04,0.0,,,,Boston,cdo,
2025-08-07,77.0,64.04,0.0,,,,Boston,cdo,
2025-08-08,78.98,62.06,0.0,,,,Boston,cdo,
2025-08-09,77.0,60.98,0.0,,,,Boston,cdo,
2025-08-10,84.02,64.04,0.0,,,,Boston,cdo,
2025-08-11,89.96,69.98,0.0,,,,Boston,cdo,
2025-08-12,91.04,73.04,0.0,,,,Boston,cdo,
2025-08-13,87.98,69.08,0.0,,,,Boston,cdo,
2025-08-14,87.08,71.06,0.24,,,,Boston,cdo,
2025-08-15,75.02,66.02,0.0,,,,Boston,cdo,
2025-08-16,78.98,62.96,0.0,,,,Boston,cdo,
2025-08-17,91.94,68.0,0.0,,,,Boston,cdo,
2025-08-18,68.0,60.08,0.0,,,,Boston,cdo,
2025-08-19,71.06,59.0,0.0,,,,Boston,cdo,
2025-08-20,66.02,55.94,0.24,,,,Boston,cdo,
2025-08-21,69.08,57.02,0.0,,,,Boston,cdo,
2025-08-22,82.04,57.92,0.0,,,,Boston,cdo,
2025-08-23,87.08,62.96,0.0,,,,Boston,cdo,
2025-08-24,82.04,62.06,0.0,,,,Boston,cdo,
2025-08-25,78.98,64.94,0.0,,,,Boston,cdo,
2025-08-26,80.06,64.94,0.0,,,,Boston,cdo,
2025-08-27,77.0,60.98,0.0,,,,Boston,cdo,
2025-08-28,78.08,57.92,0.0,,,,Boston,cdo,
2025-08-29,73.04,62.96,0.071,,,,Boston,cdo,
2025-08-30,77.0,57.92,0.0,,,,Boston,cdo,
2025-08-31,71.96,59.0,0.0,,,,Boston,cdo,
2025-09-01,73.04,60.08,0.0,,,,Boston,cdo,
2025-09-02,73.94,60.08,0.0,,,,Boston,cdo,
2025-09-03,75.92,57.92,0.0,,,,Boston,cdo,
2025-09-04,78.98,57.92,0.0,,,,Boston,cdo,
2025-09-05,84.02,64.94,0.079,,,,Boston,cdo,
2025-09-06,86.0,66.92,0.559,,,,Boston,cdo,
2025-09-07,66.92,60.98,0.791,,,,Boston,cdo,
2025-09-08,68.0,55.04,0.0,,,,Boston,cdo,
2025-09-09,69.08,53.06,0.0,,,,Boston,cdo,
2025-09-10,68.0,57.02,0.0,,,,Boston,cdo,
2025-09-11,73.94,55.04,0.0,,,,Boston,cdo,
2025-09-12,68.0,57.92,0.0,,,,Boston,cdo,
2025-09-13,71.06,55.04,0.0,,,,Boston,cdo,
2025-09-14,75.02,59.0,0.0,,,,Boston,cdo,
2025-09-15,71.96,60.08,0.0,,,,Boston,cdo,
2025-09-16,68.0,57.02,0.0,,,,Boston,cdo,
2025-09-17,69.98,55.94,0.012,,,,Boston,cdo,
2025-09-18,73.94,62.06,0.11,,,,Boston,cdo,
2025-09-19,82.04,60.98,0.0,,,,Boston,cdo,
2025-09-20,64.94,53.96,0.0,,,,Boston,cdo,
2025-09-21,66.02,51.08,0.0,,,,Boston,cdo,
2025-09-22,69.08,53.96,0.0,,,,Boston,cdo,
2025-09-23,80.06,60.08,0.0,,,,Boston,cdo,
2025-09-24,66.02,62.96,0.11,,,,Boston,cdo,
2025-09-25,71.96,62.96,1.421,,,,Boston,cdo,
2025-09-26,82.04,69.08,0.0,,,,Boston,cdo,
2025-09-27,75.92,64.04,0.0,,,,Boston,cdo,
2025-09-28,84.02,64.94,0.012,,,,Boston,cdo,
2025-09-29,78.08,62.96,0.0,,,,Boston,cdo,
2025-09-30,71.96,57.02,0.0,,,,Boston,cdo,
2025-10-01,62.96,51.98,0.0,,,,Boston,cdo,
2025-10-02,59.0,46.94,0.0,,,,Boston,cdo,
2025-10-03,73.94,48.02,0.0,,,,Boston,cdo,
2025-10-04,80.96,57.92,0.0,,,,Boston,cdo,
2025-10-05,75.02,60.08,0.0,,,,Boston,cdo,
