date,tmax_f,tmin_f,precip_in,precip_trace,cli_station,source_url,city,source,archive_version
2025-04-01,51.98,29.12,,,,,Denver,cdo,
2025-04-02,51.08,28.22,,,,,Denver,cdo,
2025-04-03,39.92,27.14,,,,,Denver,cdo,
2025-04-04,37.94,27.14,,,,,Denver,cdo,
2025-04-05,42.08,26.24,,,,,Denver,cdo,
2025-04-06,59.0,27.14,,,,,Denver,cdo,
2025-04-07,68.0,33.08,,,,,Denver,cdo,
2025-04-08,73.94,44.06,,,,,Denver,cdo,
2025-04-09,73.04,39.92,,,,,Denver,cdo,
2025-04-10,69.08,33.08,,,,,Denver,cdo,
2025-04-11,80.06,41.0,,,,,Denver,cdo,
2025-04-12,86.0,51.98,,,,,Denver,cdo,
2025-04-13,68.0,35.96,,,,,Denver,cdo,
2025-04-14,57.02,31.1,,,,,Denver,cdo,
2025-04-15,71.96,28.22,,,,,Denver,cdo,
2025-04-16,78.98,48.02,,,,,Denver,cdo,
2025-04-17,77.0,31.1,,,,,Denver,cdo,
2025-04-18,35.96,29.12,,,,,Denver,cdo,
2025-04-19,48.02,22.1,,,,,Denver,cdo,
2025-04-20,62.96,25.16,0.0,,,,Denver,cdo,
2025-04-21,73.94,39.92,0.0,,,,Denver,cdo,
2025-04-22,73.94,33.98,0.0,,,,Denver,cdo,
2025-04-23,66.02,39.02,0.0,,,,Denver,cdo,
2025-04-24,71.06,41.0,0.0,,,,Denver,cdo,
2025-04-25,51.98,39.92,0.0,,,,Denver,cdo,
2025-04-26,77.0,33.98,0.0,,,,Denver,cdo,
2025-04-27,82.04,46.94,0.0,,,,Denver,cdo,
2025-04-28,66.02,37.94,0.0,,,,Denver,cdo,
2025-04-29,66.92,27.14,0.0,,,,Denver,cdo,
2025-04-30,69.98,39.92,0.059,,,,Denver,cdo,
2025-05-01,62.96,39.92,0.071,,,,Denver,cdo,
2025-05-02,66.02,35.96,0.0,,,,Denver,cdo,
2025-05-03,77.0,39.02,0.0,,,,Denver,cdo,
2025-05-04,80.06,42.08,0.0,,,,Denver,cdo,
2025-05-05,68.0,44.96,0.0,,,,Denver,cdo,
2025-05-06,48.92,33.08,0.48,,,,Denver,cdo,
2025-05-07,55.94,42.98,0.48,,,,Denver,cdo,
2025-05-08,68.0,35.96,0.0,,,,Denver,cdo,
2025-05-09,73.04,42.98,0.0,,,,Denver,cdo,
2025-05-10,78.08,44.96,0.0,,,,Denver,cdo,
2025-05-11,84.02,46.04,0.0,,,,Denver,cdo,
2025-05-12,86.0,53.96,0.0,,,,Denver,cdo,
2025-05-13,84.92,53.96,0.0,,,,Denver,cdo,
2025-05-14,73.04,42.08,0.169,,,,Denver,cdo,
2025-05-15,69.08,44.96,0.0,,,,Denver,cdo,
2025-05-16,71.06,44.06,0.0,,,,Denver,cdo,
2025-05-17,73.04,44.06,0.0,,,,Denver,cdo,
2025-05-18,66.02,44.06,0.169,,,,Denver,cdo,
2025-05-19,62.06,39.02,0.012,,,,Denver,cdo,
2025-05-20,71.06,35.06,0.0,,,,Denver,cdo,
2025-05-21,75.92,39.92,0.0,,,,Denver,cdo,
2025-05-22,80.06,37.94,0.0,,,,Denver,cdo,
2025-05-23,84.92,48.92,0.0,,,,Denver,cdo,
2025-05-24,69.98,51.08,0.272,,,,Denver,cdo,
2025-05-25,60.08,48.92,1.39,,,,Denver,cdo,
2025-05-26,62.06,46.04,0.189,,,,Denver,cdo,
2025-05-27,75.02,41.0,0.0,,,,Denver,cdo,
2025-05-28,68.0,46.94,0.28,,,,Denver,cdo,
2025-05-29,66.92,48.02,0.059,,,,Denver,cdo,
2025-05-30,80.96,46.94,0.0,,,,Denver,cdo,
2025-05-31,78.08,53.96,0.0,,,,Denver,cdo,
2025-06-01,87.08,55.04,0.098,,,,Denver,cdo,
2025-06-02,77.0,50.0,0.039,,,,Denver,cdo,
2025-06-03,57.92,46.94,0.28,,,,Denver,cdo,
2025-06-04,71.96,48.02,0.488,,,,Denver,cdo,
2025-06-05,71.96,51.98,0.941,,,,Denver,cdo,
2025-06-06,71.06,50.0,0.012,,,,Denver,cdo,
2025-06-07,82.04,50.0,0.0,,,,Denver,cdo,
2025-06-08,69.98,51.98,0.0,,,,Denver,cdo,
2025-06-09,80.06,48.92,0.0,,,,Denver,cdo,
2025-06-10,87.08,55.04,0.0,,,,Denver,cdo,
2025-06-11,87.08,60.08,0.012,,,,Denver,cdo,
2025-06-12,87.98,55.04,0.0,,,,Denver,cdo,
2025-06-13,86.0,53.96,0.0,,,,Denver,cdo,
2025-06-14,91.94,53.06,0.0,,,,Denver,cdo,
2025-06-15,93.92,53.96,0.0,,,,Denver,cdo,
2025-06-16,91.04,57.02,0.0,,,,Denver,cdo,
2025-06-17,66.02,51.08,0.299,,,,Denver,cdo,
2025-06-18,80.06,50.0,0.0,,,,Denver,cdo,
2025-06-19,93.02,57.92,0.0,,,,Denver,cdo,
2025-06-20,98.96,62.96,0.0,,,,Denver,cdo,
2025-06-21,98.06,60.08,0.0,,,,Denver,cdo,
2025-06-22,93.02,57.92,0.0,,,,Denver,cdo,
2025-06-23,78.08,51.98,0.0,,,,Denver,cdo,
2025-06-24,80.06,57.92,0.02,,,,Denver,cdo,
2025-06-25,77.0,55.94,0.039,,,,Denver,cdo,
2025-06-26,87.08,53.96,0.0,,,,Denver,cdo,
2025-06-27,91.94,64.94,0.0,,,,Denver,cdo,
2025-06-28,95.0,57.92,0.0,,,,Denver,cdo,
2025-06-29,84.92,59.0,0.0,,,,Denver,cdo,
2025-06-30,80.96,57.02,0.0,,,,Denver,cdo,
2025-07-01,93.02,57.92,0.358,,,,Denver,cdo,
2025-07-02,91.94,55.94,0.0,,,,Denver,cdo,
2025-07-03,93.02,57.02,0.0,,,,Denver,cdo,
2025-07-04,87.08,64.94,0.0,,,,Denver,cdo,
2025-07-05,91.94,60.08,0.031,,,,Denver,cdo,
2025-07-06,91.04,57.02,0.02,,,,Denver,cdo,
2025-07-07,91.94,55.94,0.0,,,,Denver,cdo,
2025-07-08,96.08,59.0,0.0,,,,Denver,cdo,
2025-07-09,100.04,62.96,0.0,,,,Denver,cdo,
2025-07-10,91.04,57.92,0.0,,,,Denver,cdo,
2025-07-11,89.06,53.96,0.012,,,,Denver,cdo,
2025-07-12,86.0,57.02,0.0,,,,Denver,cdo,
2025-07-13,91.94,62.06,0.0,,,,Denver,cdo,
2025-07-14,93.92,68.0,0.0,,,,Denver,cdo,
2025-07-15,95.0,64.94,0.0,,,,Denver,cdo,
2025-07-16,77.0,59.0,0.13,,,,Denver,cdo,
2025-07-17,89.96,55.94,0.031,,,,Denver,cdo,
2025-07-18,93.02,60.98,0.012,,,,Denver,cdo,
2025-07-19,91.94,55.94,0.0,,,,Denver,cdo,
2025-07-20,91.94,60.08,0.0,,,,Denver,cdo,
2025-07-21,96.08,60.98,0.0,,,,Denver,cdo,
2025-07-22,93.02,60.98,0.031,,,,Denver,cdo,
2025-07-23,84.02,60.98,0.02,,,,Denver,cdo,
2025-07-24,87.08,55.94,0.0,,,,Denver,cdo,
2025-07-25,91.94,57.02,0.0,,,,Denver,cdo,
2025-07-26,96.98,60.08,0.0,,,,Denver,cdo,
2025-07-27,96.98,64.04,0.0,,,,Denver,cdo,
2025-07-28,96.98,62.96,0.0,,,,Denver,cdo,
2025-07-29,80.96,59.0,0.0,,,,Denver,cdo,
2025-07-30,80.06,57.02,0.0,,,,Denver,cdo,
2025-07-31,86.0,53.96,0.0,,,,Denver,cdo,
2025-08-01,84.92,55.04,0.0,,,,Denver,cdo,
2025-08-02,91.04,51.98,0.0,,,,Denver,cdo,
2025-08-03,87.98,57.92,0.0,,,,Denver,cdo,
2025-08-04,96.98,59.0,0.0,,,,Denver,cdo,
2025-08-05,98.06,64.04,0.0,,,,Denver,cdo,
2025-08-06,96.98,64.04,0.0,,,,Denver,cdo,
2025-08-07,98.96,73.94,0.0,,,,Denver,cdo,
2025-08-08,98.06,66.02,0.0,,,,Denver,cdo,
2025-08-09,91.04,57.92,0.0,,,,Denver,cdo,
2025-08-10,78.98,57.02,1.429,,,,Denver,cdo,
2025-08-11,82.04,51.08,0.0,,,,Denver,cdo,
2025-08-12,87.98,60.08,0.0,,,,Denver,cdo,
2025-08-13,96.98,64.04,0.0,,,,Denver,cdo,
2025-08-14,96.08,66.02,0.0,,,,Denver,cdo,
2025-08-15,95.0,62.06,0.039,,,,Denver,cdo,
2025-08-16,89.06,64.94,0.0,,,,Denver,cdo,
