date,tmax_f,tmin_f,precip_in,precip_trace,cli_station,source_url,city,source,archive_version
2025-04-01,80.96,69.08,,,,,New Orleans,cdo,
2025-04-02,82.94,77.0,,,,,New Orleans,cdo,
2025-04-03,84.02,77.0,,,,,New Orleans,cdo,
2025-04-04,84.92,78.98,,,,,New Orleans,cdo,
2025-04-05,80.06,75.02,,,,,New Orleans,cdo,
2025-04-06,78.98,59.0,,,,,New Orleans,cdo,
2025-04-07,62.96,53.96,,,,,New Orleans,cdo,
2025-04-08,71.06,46.94,,,,,New Orleans,cdo,
2025-04-09,75.92,51.08,,,,,New Orleans,cdo,
2025-04-10,80.06,55.04,,,,,New Orleans,cdo,
2025-04-11,80.96,64.04,,,,,New Orleans,cdo,
2025-04-12,75.92,57.02,,,,,New Orleans,cdo,
2025-04-13,80.06,53.96,,,,,New Orleans,cdo,
2025-04-14,80.96,57.92,,,,,New Orleans,cdo,
2025-04-15,80.06,62.96,,,,,New Orleans,cdo,
2025-04-16,78.08,62.96,,,,,New Orleans,cdo,
2025-04-17,80.96,59.0,,,,,New Orleans,cdo,
2025-04-18,82.94,69.08,,,,,New Orleans,cdo,
2025-04-19,84.02,71.96,,,,,New Orleans,cdo,
2025-04-20,84.02,71.96,0.012,,,,New Orleans,cdo,
2025-04-21,82.94,66.92,4.382,,,,New Orleans,cdo,
2025-04-22,82.94,69.08,0.012,,,,New Orleans,cdo,
2025-04-23,82.94,71.06,0.0,,,,New Orleans,cdo,
2025-04-24,84.02,73.04,0.0,,,,New Orleans,cdo,
2025-04-25,84.02,69.98,0.0,,,,New Orleans,cdo,
2025-04-26,86.0,68.0,0.0,,,,New Orleans,cdo,
2025-04-27,84.02,69.98,0.079,,,,New Orleans,cdo,
2025-04-28,84.92,69.08,0.0,,,,New Orleans,cdo,
2025-04-29,86.0,69.98,0.0,,,,New Orleans,cdo,
2025-04-30,84.92,73.04,0.0,,,,New Orleans,cdo,
2025-05-01,84.92,71.06,0.0,,,,New Orleans,cdo,
2025-05-02,84.02,69.08,0.02,,,,New Orleans,cdo,
2025-05-03,82.04,66.92,0.15,,,,New Orleans,cdo,
2025-05-04,80.06,68.0,0.0,,,,New Orleans,cdo,
