date,tmax_f,tmin_f,precip_in,precip_trace,cli_station,source_url,city,source,archive_version
2025-04-01,62.06,44.06,,,,,Philadelphia,cdo,
2025-04-02,57.02,37.94,,,,,Philadelphia,cdo,
2025-04-03,75.92,48.02,,,,,Philadelphia,cdo,
2025-04-04,71.06,60.08,,,,,Philadelphia,cdo,
2025-04-05,62.06,48.92,,,,,Philadelphia,cdo,
2025-04-06,55.04,48.02,,,,,Philadelphia,cdo,
2025-04-07,51.08,41.0,,,,,Philadelphia,cdo,
2025-04-08,48.02,37.94,,,,,Philadelphia,cdo,
2025-04-09,50.0,33.08,,,,,Philadelphia,cdo,
2025-04-10,53.96,42.08,,,,,Philadelphia,cdo,
2025-04-11,48.02,42.08,,,,,Philadelphia,cdo,
2025-04-12,44.96,37.94,,,,,Philadelphia,cdo,
2025-04-13,62.06,42.08,,,,,Philadelphia,cdo,
2025-04-14,69.98,44.06,,,,,Philadelphia,cdo,
2025-04-15,69.08,48.02,,,,,Philadelphia,cdo,
2025-04-16,57.02,44.06,,,,,Philadelphia,cdo,
2025-04-17,62.96,37.04,,,,,Philadelphia,cdo,
2025-04-18,71.96,42.08,,,,,Philadelphia,cdo,
2025-04-19,80.06,62.96,,,,,Philadelphia,cdo,
2025-04-20,73.04,51.08,0.0,,,,Philadelphia,cdo,
2025-04-21,66.02,50.0,0.0,,,,Philadelphia,cdo,
2025-04-22,80.06,53.06,0.0,,,,Philadelphia,cdo,
2025-04-23,77.0,53.96,0.0,,,,Philadelphia,cdo,
2025-04-24,78.98,50.0,0.0,,,,Philadelphia,cdo,
2025-04-25,78.98,51.08,0.0,,,,Philadelphia,cdo,
2025-04-26,75.02,53.06,0.031,,,,Philadelphia,cdo,
2025-04-27,71.96,50.0,0.0,,,,Philadelphia,cdo,
2025-04-28,75.02,46.94,0.0,,,,Philadelphia,cdo,
2025-04-29,82.94,50.0,0.0,,,,Philadelphia,cdo,
2025-04-30,80.06,57.02,0.0,,,,Philadelphia,cdo,
2025-05-01,80.96,53.96,0.0,,,,Philadelphia,cdo,
2025-05-02,86.0,59.0,0.0,,,,Philadelphia,cdo,
2025-05-03,84.92,64.04,0.039,,,,Philadelphia,cdo,
2025-05-04,73.04,62.96,0.118,,,,Philadelphia,cdo,
2025-05-05,73.04,60.98,0.0,,,,Philadelphia,cdo,
2025-05-06,80.96,60.98,0.031,,,,Philadelphia,cdo,
2025-05-07,75.02,60.08,0.0,,,,Philadelphia,cdo,
2025-05-08,80.96,59.0,0.0,,,,Philadelphia,cdo,
2025-05-09,64.04,51.08,0.181,,,,Philadelphia,cdo,
2025-05-10,73.94,48.92,0.0,,,,Philadelphia,cdo,
2025-05-11,82.04,55.04,0.0,,,,Philadelphia,cdo,
2025-05-12,82.94,55.04,0.0,,,,Philadelphia,cdo,
2025-05-13,71.06,62.06,0.28,,,,Philadelphia,cdo,
2025-05-14,66.02,59.0,1.299,,,,Philadelphia,cdo,
2025-05-15,77.0,62.96,0.031,,,,Philadelphia,cdo,
2025-05-16,77.0,60.08,1.5,,,,Philadelphia,cdo,
2025-05-17,86.0,62.06,0.0,,,,Philadelphia,cdo,
2025-05-18,77.0,64.04,0.0,,,,Philadelphia,cdo,
2025-05-19,71.06,55.94,0.0,,,,Philadelphia,cdo,
2025-05-20,69.08,50.0,0.0,,,,Philadelphia,cdo,
2025-05-21,57.02,51.98,0.449,,,,Philadelphia,cdo,
2025-05-22,55.94,51.08,0.559,,,,Philadelphia,cdo,
2025-05-23,69.08,51.08,0.0,,,,Philadelphia,cdo,
2025-05-24,68.0,50.0,0.0,,,,Philadelphia,cdo,
2025-05-25,71.06,51.98,0.0,,,,Philadelphia,cdo,
2025-05-26,75.02,53.06,0.0,,,,Philadelphia,cdo,
2025-05-27,73.94,53.96,0.012,,,,Philadelphia,cdo,
2025-05-28,59.0,53.06,0.772,,,,Philadelphia,cdo,
2025-05-29,73.94,57.02,0.012,,,,Philadelphia,cdo,
2025-05-30,78.98,62.96,0.882,,,,Philadelphia,cdo,
2025-05-31,75.02,55.04,0.059,,,,Philadelphia,cdo,
2025-06-01,71.06,51.98,0.0,,,,Philadelphia,cdo,
2025-06-02,75.02,51.98,0.0,,,,Philadelphia,cdo,
2025-06-03,82.04,57.02,0.0,,,,Philadelphia,cdo,
2025-06-04,87.98,59.0,0.0,,,,Philadelphia,cdo,
2025-06-05,87.08,66.02,0.0,,,,Philadelphia,cdo,
2025-06-06,87.08,66.92,0.0,,,,Philadelphia,cdo,
2025-06-07,80.96,69.08,0.161,,,,Philadelphia,cdo,
2025-06-08,73.94,62.96,0.012,,,,Philadelphia,cdo,
2025-06-09,73.94,62.96,0.039,,,,Philadelphia,cdo,
2025-06-10,84.02,64.04,0.118,,,,Philadelphia,cdo,
2025-06-11,84.92,66.92,0.0,,,,Philadelphia,cdo,
2025-06-12,91.94,68.0,0.0,,,,Philadelphia,cdo,
2025-06-13,82.94,69.98,0.0,,,,Philadelphia,cdo,
2025-06-14,69.98,62.06,0.02,,,,Philadelphia,cdo,
2025-06-15,64.94,59.0,0.311,,,,Philadelphia,cdo,
2025-06-16,66.92,60.98,0.031,,,,Philadelphia,cdo,
2025-06-17,78.98,62.96,0.0,,,,Philadelphia,cdo,
2025-06-18,86.0,69.98,0.059,,,,Philadelphia,cdo,
2025-06-19,93.02,71.96,0.39,,,,Philadelphia,cdo,
2025-06-20,86.0,66.92,0.0,,,,Philadelphia,cdo,
2025-06-21,91.04,71.96,0.0,,,,Philadelphia,cdo,
2025-06-22,87.98,75.02,0.012,,,,Philadelphia,cdo,
2025-06-23,98.96,77.0,0.0,,,,Philadelphia,cdo,
2025-06-24,100.94,80.06,0.0,,,,Philadelphia,cdo,
2025-06-25,98.96,77.0,0.13,,,,Philadelphia,cdo,
2025-06-26,91.94,66.02,0.091,,,,Philadelphia,cdo,
2025-06-27,71.96,64.04,0.0,,,,Philadelphia,cdo,
2025-06-28,87.98,64.04,0.012,,,,Philadelphia,cdo,
2025-06-29,93.02,75.92,0.0,,,,Philadelphia,cdo,
2025-06-30,93.92,75.02,0.819,,,,Philadelphia,cdo,
2025-07-01,93.02,73.94,0.791,,,,Philadelphia,cdo,
2025-07-02,87.08,71.96,0.059,,,,Philadelphia,cdo,
2025-07-03,91.94,71.06,0.11,,,,Philadelphia,cdo,
2025-07-04,84.92,68.0,0.0,,,,Philadelphia,cdo,
2025-07-05,87.98,66.02,0.0,,,,Philadelphia,cdo,
2025-07-06,89.96,71.06,0.0,,,,Philadelphia,cdo,
2025-07-07,91.04,75.92,0.012,,,,Philadelphia,cdo,
2025-07-08,96.08,73.94,1.039,,,,Philadelphia,cdo,
2025-07-09,91.04,71.96,0.839,,,,Philadelphia,cdo,
2025-07-10,86.0,71.96,0.0,,,,Philadelphia,cdo,
2025-07-11,89.96,73.04,0.0,,,,Philadelphia,cdo,
2025-07-12,91.04,73.94,0.0,,,,Philadelphia,cdo,
2025-07-13,91.94,75.02,0.0,,,,Philadelphia,cdo,
2025-07-14,91.04,75.02,0.169,,,,Philadelphia,cdo,
2025-07-15,89.96,75.02,0.0,,,,Philadelphia,cdo,
2025-07-16,91.04,75.92,0.118,,,,Philadelphia,cdo,
2025-07-17,95.0,75.02,0.071,,,,Philadelphia,cdo,
2025-07-18,84.92,75.92,0.0,,,,Philadelphia,cdo,
2025-07-19,82.04,75.02,0.02,,,,Philadelphia,cdo,
