date,tmax_f,tmin_f,precip_in,precip_trace,cli_station,source_url,city,source,archive_version
2025-04-01,57.02,48.92,,,,,San Francisco,cdo,
2025-04-02,59.0,44.06,,,,,San Francisco,cdo,
2025-04-03,60.98,44.06,,,,,San Francisco,cdo,
2025-04-04,69.98,44.96,,,,,San Francisco,cdo,
2025-04-05,69.08,48.92,,,,,San Francisco,cdo,
2025-04-06,66.92,48.02,,,,,San Francisco,cdo,
2025-04-07,64.04,53.96,,,,,San Francisco,cdo,
2025-04-08,64.94,51.08,,,,,San Francisco,cdo,
2025-04-09,73.04,50.0,,,,,San Francisco,cdo,
2025-04-10,66.92,50.0,,,,,San Francisco,cdo,
2025-04-11,64.04,51.08,,,,,San Francisco,cdo,
2025-04-12,60.98,48.92,,,,,San Francisco,cdo,
2025-04-13,78.08,46.94,,,,,San Francisco,cdo,
2025-04-14,66.92,50.0,,,,,San Francisco,cdo,
2025-04-15,64.94,51.08,,,,,San Francisco,cdo,
2025-04-16,62.06,53.06,,,,,San Francisco,cdo,
2025-04-17,60.98,51.08,,,,,San Francisco,cdo,
2025-04-18,64.04,51.08,,,,,San Francisco,cdo,
2025-04-19,64.94,48.92,,,,,San Francisco,cdo,
2025-04-20,62.96,48.92,0.0,,,,San Francisco,cdo,
2025-04-21,69.98,48.02,0.0,,,,San Francisco,cdo,
2025-04-22,68.0,48.92,0.0,,,,San Francisco,cdo,
2025-04-23,57.92,51.08,0.0,,,,San Francisco,cdo,
2025-04-24,55.94,51.08,0.0,,,,San Francisco,cdo,
2025-04-25,60.08,50.0,0.031,,,,San Francisco,cdo,
2025-04-26,60.98,46.94,0.012,,,,San Francisco,cdo,
2025-04-27,57.02,50.0,0.0,,,,San Francisco,cdo,
2025-04-28,64.04,46.04,0.0,,,,San Francisco,cdo,
2025-04-29,69.98,48.02,0.0,,,,San Francisco,cdo,
2025-04-30,66.92,51.08,0.0,,,,San Francisco,cdo,
2025-05-01,64.94,50.0,0.0,,,,San Francisco,cdo,
2025-05-02,60.98,50.0,0.012,,,,San Francisco,cdo,
2025-05-03,60.08,50.0,0.0,,,,San Francisco,cdo,
2025-05-04,64.94,48.92,0.0,,,,San Francisco,cdo,
2025-05-05,80.96,53.06,0.0,,,,San Francisco,cdo,
2025-05-06,73.94,53.96,0.0,,,,San Francisco,cdo,
2025-05-07,66.02,50.0,0.0,,,,San Francisco,cdo,
2025-05-08,73.04,50.0,0.0,,,,San Francisco,cdo,
2025-05-09,78.08,51.08,0.0,,,,San Francisco,cdo,
2025-05-10,68.0,51.08,0.0,,,,San Francisco,cdo,
2025-05-11,64.04,51.98,0.0,,,,San Francisco,cdo,
2025-05-12,62.96,51.98,0.098,,,,San Francisco,cdo,
2025-05-13,66.02,51.98,0.0,,,,San Francisco,cdo,
2025-05-14,68.0,51.08,0.0,,,,San Francisco,cdo,
2025-05-15,69.98,51.08,0.0,,,,San Francisco,cdo,
2025-05-16,68.0,51.98,0.0,,,,San Francisco,cdo,
2025-05-17,62.96,51.98,0.0,,,,San Francisco,cdo,
2025-05-18,66.02,50.0,0.0,,,,San Francisco,cdo,
2025-05-19,69.98,51.98,0.0,,,,San Francisco,cdo,
2025-05-20,64.94,51.08,0.0,,,,San Francisco,cdo,
2025-05-21,71.96,48.92,0.0,,,,San Francisco,cdo,
2025-05-22,64.94,51.98,0.0,,,,San Francisco,cdo,
2025-05-23,60.98,51.98,0.0,,,,San Francisco,cdo,
2025-05-24,60.08,51.98,0.0,,,,San Francisco,cdo,
2025-05-25,64.04,53.06,0.0,,,,San Francisco,cdo,
2025-05-26,64.94,53.06,0.0,,,,San Francisco,cdo,
2025-05-27,68.0,51.08,0.0,,,,San Francisco,cdo,
2025-05-28,64.04,53.06,0.0,,,,San Francisco,cdo,
2025-05-29,69.98,53.06,0.0,,,,San Francisco,cdo,
2025-05-30,80.06,51.98,0.0,,,,San Francisco,cdo,
2025-05-31,73.94,53.96,0.0,,,,San Francisco,cdo,
2025-06-01,64.94,53.96,0.0,,,,San Francisco,cdo,
2025-06-02,71.96,51.98,0.0,,,,San Francisco,cdo,
2025-06-03,71.06,53.96,0.0,,,,San Francisco,cdo,
2025-06-04,68.0,53.06,0.0,,,,San Francisco,cdo,
2025-06-05,69.98,55.04,0.0,,,,San Francisco,cdo,
2025-06-06,69.08,55.94,0.0,,,,San Francisco,cdo,
2025-06-07,66.02,55.04,0.0,,,,San Francisco,cdo,
2025-06-08,66.92,53.96,0.0,,,,San Francisco,cdo,
2025-06-09,64.94,53.96,0.0,,,,San Francisco,cdo,
2025-06-10,64.04,53.96,0.0,,,,San Francisco,cdo,
2025-06-11,62.06,53.96,0.0,,,,San Francisco,cdo,
2025-06-12,62.06,53.06,0.0,,,,San Francisco,cdo,
2025-06-13,66.92,51.98,0.0,,,,San Francisco,cdo,
2025-06-14,66.02,51.08,0.0,,,,San Francisco,cdo,
2025-06-15,66.02,51.08,0.0,,,,San Francisco,cdo,
2025-06-16,64.04,51.08,0.0,,,,San Francisco,cdo,
2025-06-17,66.92,53.06,0.0,,,,San Francisco,cdo,
2025-06-18,68.0,51.98,0.0,,,,San Francisco,cdo,
2025-06-19,62.06,53.96,0.0,,,,San Francisco,cdo,
2025-06-20,62.96,53.06,0.0,,,,San Francisco,cdo,
2025-06-21,68.0,51.98,0.0,,,,San Francisco,cdo,
2025-06-22,66.92,53.06,0.0,,,,San Francisco,cdo,
2025-06-23,66.92,51.98,0.0,,,,San Francisco,cdo,
2025-06-24,64.04,53.96,0.0,,,,San Francisco,cdo,
2025-06-25,64.04,53.06,0.0,,,,San Francisco,cdo,
2025-06-26,64.94,53.06,0.0,,,,San Francisco,cdo,
2025-06-27,71.96,53.06,0.0,,,,San Francisco,cdo,
2025-06-28,78.08,53.96,0.0,,,,San Francisco,cdo,
